date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-11-03,2019,0,0,BAL,NE,1570.53924891259,1640.85648810958,0.49234847505118984,,,
2019-11-04,2019,0,0,NYG,DAL,1442.7255357616,1546.63760540507,0.4442340032040482,,,
2019-11-07,2019,0,0,OAK,LAC,1405.44061778861,1585.75191800581,0.3398898316397273,,,
2019-11-10,2019,0,0,CHI,DET,1588.89793144843,1490.51940926969,0.7191970844603197,,,
2019-11-10,2019,0,0,NO,ATL,1610.93660317005,1520.31582461035,0.7100908274829558,,,
2019-11-10,2019,0,0,NYJ,NYG,1384.96644235941,1442.7255357616,0.5104189938007441,,,
2019-11-10,2019,0,0,TEN,KC,1518.90720352913,1602.07742712331,0.47387476022974,,,
2019-11-10,2019,0,0,TB,ARI,1444.77266859125,1383.74042223536,0.6738169872761531,,,
2019-11-10,2019,0,0,CIN,BAL,1428.5335151433,1570.53924891259,0.39095953744837364,,,
2019-11-10,2019,0,0,CLE,BUF,1455.88640137805,1448.42368150679,0.6027960282571438,,,
2019-11-10,2019,0,0,GB,CAR,1455.13136993533,1519.37877240763,0.5010830732111913,,,
2019-11-10,2019,0,0,IND,MIA,1561.07456529967,1415.17876187059,0.7710083798887089,,,
2019-11-10,2019,0,0,PIT,LAR,1572.19321967273,1598.01566621671,0.5561432738720986,,,
2019-11-10,2019,0,0,DAL,MIN,1546.63760540507,1538.42395425995,0.6038305657596184,,,
2019-11-11,2019,0,0,SF,SEA,1422.63182461207,1565.41164859357,0.38989903042889673,,,
2019-11-14,2019,0,0,CLE,PIT,1455.88640137805,1572.19321967273,0.42669563641695585,,,
2019-11-17,2019,0,0,CAR,ATL,1519.37877240763,1520.31582461035,0.5911631769229699,,,
2019-11-17,2019,0,0,WSH,NYJ,1441.02179176339,1384.96644235941,0.6674891418087621,,,
2019-11-17,2019,0,0,TB,NO,1444.77266859125,1610.93660317005,0.35839286152169,,,
2019-11-17,2019,0,0,MIN,DEN,1538.42395425995,1449.16419458668,0.7084753202155692,,,
2019-11-17,2019,0,0,MIA,BUF,1415.17876187059,1448.42368150679,0.5455724056875638,,,
2019-11-17,2019,0,0,IND,JAX,1561.07456529967,1455.24907275187,0.7277725388356481,,,
2019-11-17,2019,0,0,BAL,HOU,1570.53924891259,1515.38853097227,0.666332349490226,,,
2019-11-17,2019,0,0,DET,DAL,1490.51940926969,1546.63760540507,0.5127791595779699,,,
2019-11-17,2019,0,0,SF,ARI,1422.63182461207,1383.74042223536,0.6452093604027594,,,
2019-11-17,2019,0,0,PHI,NE,1581.51355925233,1640.85648810958,0.5081404604280876,,,
2019-11-17,2019,0,0,OAK,CIN,1405.44061778861,1428.5335151433,0.56001838574046,,,
2019-11-17,2019,0,0,LAR,CHI,1598.01566621671,1588.89793144843,0.6050748647909391,,,
2019-11-18,2019,1,0,LAC,KC,1585.75191800581,1602.07742712331,0.476522979773291,,,
2019-11-21,2019,0,0,HOU,IND,1515.38853097227,1561.07456529967,0.5277664350054864,,,
2019-11-24,2019,0,0,CHI,NYG,1588.89793144843,1442.7255357616,0.7712893673603162,,,
2019-11-24,2019,0,0,NYJ,OAK,1384.96644235941,1405.44061778861,0.5637293000697082,,,
2019-11-24,2019,0,0,CIN,PIT,1428.5335151433,1572.19321967273,0.3886948536872704,,,
2019-11-24,2019,0,0,ATL,TB,1520.31582461035,1444.77266859125,0.6919030716271858,,,
2019-11-24,2019,0,0,WSH,DET,1441.02179176339,1490.51940926969,0.5222949281174347,,,
2019-11-24,2019,0,0,BUF,DEN,1448.42368150679,1449.16419458668,0.5914365887224393,,,
2019-11-24,2019,0,0,CLE,MIA,1455.88640137805,1415.17876187059,0.6475990322847995,,,
2019-11-24,2019,0,0,NO,CAR,1610.93660317005,1519.37877240763,0.7112000084379284,,,
2019-11-24,2019,0,0,TEN,JAX,1518.90720352913,1455.24907275187,0.6771304858644215,,,
2019-11-24,2019,0,0,NE,DAL,1640.85648810958,1546.63760540507,0.714336085646134,,,
2019-11-24,2019,0,0,SF,GB,1422.63182461207,1455.13136993533,0.5466359647971147,,,
2019-11-24,2019,0,0,PHI,SEA,1581.51355925233,1565.41164859357,0.6146403216533948,,,
2019-11-25,2019,0,0,LAR,BAL,1598.01566621671,1570.53924891259,0.6300280265962419,,,
2019-11-28,2019,0,0,DET,CHI,1490.51940926969,1588.89793144843,0.45211168560114,,,
2019-11-28,2019,0,0,DAL,BUF,1546.63760540507,1448.42368150679,0.719005693819028,,,
2019-11-28,2019,0,0,ATL,NO,1520.31582461035,1610.93660317005,0.4631954255284356,,,
2019-12-01,2019,0,0,KC,OAK,1602.07742712331,1405.44061778861,0.8184828854115898,,,
2019-12-01,2019,0,0,NYG,GB,1442.7255357616,1455.13136993533,0.5751161921717397,,,
2019-12-01,2019,0,0,CIN,NYJ,1428.5335151433,1384.96644235941,0.6513463051801142,,,
2019-12-01,2019,0,0,MIA,PHI,1415.17876187059,1581.51355925233,0.3581667247215096,,,
2019-12-01,2019,0,0,BAL,SF,1570.53924891259,1422.63182461207,0.7730464301937812,,,
2019-12-01,2019,0,0,JAX,TB,1455.24907275187,1444.77266859125,0.6069422521162243,,,
2019-12-01,2019,0,0,IND,TEN,1561.07456529967,1518.90720352913,0.6495142950259577,,,
2019-12-01,2019,0,0,CAR,WSH,1519.37877240763,1441.02179176339,0.6953452076206488,,,
2019-12-01,2019,0,0,ARI,LAR,1383.74042223536,1598.01566621671,0.2974861642476931,,,
